parent,component,qty
P0125,P0473,1
P0125,P0317,0
P0125,P0243,2
P0125,P0266,0
P0125,P0351,5
P0125,P0002,3
P0125,P0405,5
P0476,P0125,1
P0476,P0089,2
P0476,P0397,4
P0302,P0499,0
P0302,P0037,3
P0302,P0076,1
P0302,P0479,3
P0302,P0033,4
P0302,P0273,5
P0232,P0292,1
P0232,P0251,3
P0232,P0468,0
P0321,P0433,4
P0321,P0079,2
P0321,P0258,4
P0321,P0101,2
P0321,P0256,1
P0321,P0278,2
P0163,P0310,5
P0163,P0301,5
P0163,P0074,5
P0163,P0078,4
P0352,P0252,4
P0352,P0179,1
P0352,P0388,3
P0352,P0256,1
P0221,P0412,4
P0221,P0064,2
P0221,P0271,2
P0221,P0175,4
P0015,P0014,1
P0015,P0452,1
P0015,P0445,1
P0015,P0115,5
P0015,P0088,1
P0015,P0035,0
P0397,P0334,5
P0397,P0046,2
P0397,P0429,2
P0397,P0189,3
P0397,P0193,5
P0397,P0177,5
P0397,P0302,4
P0397,P0161,3
P0417,P0450,1
P0417,P0391,0
P0417,P0134,4
P0417,P0297,3
P0417,P0215,0
P0267,P0196,3
P0267,P0294,0
P0267,P0195,1
P0267,P0173,5
P0267,P0196,3
P0267,P0349,4
P0413,P0197,1
P0413,P0380,0
P0413,P0213,5
P0413,P0393,4
P0413,P0167,1
P0413,P0225,4
P0413,P0384,4
P0413,P0401,0
P0042,P0349,5
P0042,P0199,4
P0042,P0073,3
P0042,P0035,5
P0042,P0337,4
P0326,P0466,0
P0326,P0310,5
P0326,P0252,2
P0326,P0296,4
P0326,P0494,2
P0326,P0145,4
P0326,P0145,3
P0326,P0084,5
P0440,P0494,2
P0440,P0033,2
P0440,P0366,2
P0440,P0487,2
P0440,P0283,4
P0440,P0026,5
P0440,P0321,1
P0440,P0289,0
P0390,P0193,5
P0390,P0143,2
P0390,P0195,5
P0390,P0092,1
P0390,P0220,1
P0390,P0111,5
P0390,P0152,3
P0161,P0275,0
