product,operation,step,time_min
P0231,Cutting,1,12
P0231,Welding,2,59
P0231,Painting,3,34
P0231,Assembly,4,5
P0231,QC,5,51
P0500,Cutting,1,31
P0500,Welding,2,47
P0500,Painting,3,37
P0500,Assembly,4,57
P0500,QC,5,52
P0383,Cutting,1,36
P0383,Welding,2,43
P0383,Painting,3,41
P0383,Assembly,4,18
P0383,QC,5,50
P0299,Cutting,1,20
P0299,Welding,2,53
P0299,Painting,3,26
P0299,Assembly,4,34
P0299,QC,5,21
P0455,Cutting,1,58
P0455,Welding,2,60
P0455,Painting,3,10
P0455,Assembly,4,34
P0455,QC,5,12
P0377,Cutting,1,36
P0377,Welding,2,14
P0377,Painting,3,47
P0377,Assembly,4,18
P0377,QC,5,10
P0324,Cutting,1,51
P0324,Welding,2,30
P0324,Painting,3,49
P0324,Assembly,4,18
P0324,QC,5,21
P0171,Cutting,1,23
P0171,Welding,2,20
P0171,Painting,3,51
P0171,Assembly,4,18
P0171,QC,5,44
P0024,Cutting,1,40
P0024,Welding,2,10
P0024,Painting,3,59
P0024,Assembly,4,46
P0024,QC,5,14
P0121,Cutting,1,30
P0121,Welding,2,6
P0121,Painting,3,8
P0121,Assembly,4,10
P0121,QC,5,7
P0420,Cutting,1,26
P0420,Welding,2,32
P0420,Painting,3,8
P0420,Assembly,4,38
P0420,QC,5,40
P0405,Cutting,1,49
P0405,Welding,2,48
P0405,Painting,3,40
P0405,Assembly,4,30
P0405,QC,5,6
P0449,Cutting,1,55
P0449,Welding,2,40
P0449,Painting,3,30
P0449,Assembly,4,9
P0449,QC,5,33
P0449,Cutting,1,39
P0449,Welding,2,26
P0449,Painting,3,6
P0449,Assembly,4,50
P0449,QC,5,50
P0240,Cutting,1,49
P0240,Welding,2,5
P0240,Painting,3,42
P0240,Assembly,4,6
P0240,QC,5,43
P0469,Cutting,1,32
P0469,Welding,2,42
P0469,Painting,3,55
P0469,Assembly,4,25
P0469,QC,5,32
P0207,Cutting,1,24
P0207,Welding,2,15
P0207,Painting,3,52
P0207,Assembly,4,30
P0207,QC,5,30
P0248,Cutting,1,31
P0248,Welding,2,5
P0248,Painting,3,33
P0248,Assembly,4,40
P0248,QC,5,26
P0411,Cutting,1,18
P0411,Welding,2,31
P0411,Painting,3,9
P0411,Assembly,4,24
P0411,QC,5,58
P0123,Cutting,1,51
P0123,Welding,2,9
P0123,Painting,3,38
P0123,Assembly,4,51
P0123,QC,5,15
P0226,Cutting,1,51
