part_id,warehouse,stock
P0383,UK,54
P0179,UK,169
P0019,UK,-4
P0331,UK,7
P0175,CA,59
P0216,UK,127
P0436,US,115
P0397,US,187
P0249,CA,30
P0309,US,24
P0091,US,196
P0057,US,144
P0031,CA,1
P0363,UK,75
P0192,US,86
P0067,US,146
P0299,CA,105
P0399,CA,157
P0381,UK,144
P0251,UK,31
P0458,UK,85
P0431,CA,60
P0291,UK,135
P0442,US,124
P0301,UK,50
P0335,US,8
P0041,US,15
P0414,US,102
P0215,CA,64
P0281,CA,43
P0459,UK,89
P0227,UK,19
P0036,US,118
P0053,UK,70
P0488,US,163
P0030,CA,116
P0129,US,50
P0020,CA,52
P0086,US,123
P0440,CA,40
P0376,US,141
P0022,CA,163
P0308,CA,143
P0372,CA,67
P0286,UK,96
P0217,UK,77
P0091,US,15
P0271,US,54
P0240,UK,14
P0149,US,-3
P0187,CA,162
P0308,US,107
P0197,UK,15
P0196,US,118
P0254,CA,193
P0329,CA,7
P0151,CA,94
P0158,UK,139
P0072,CA,21
P0328,UK,172
P0012,CA,83
P0035,CA,22
P0438,UK,90
P0238,CA,0
P0361,US,90
P0470,US,91
P0443,CA,75
P0260,CA,162
P0465,US,79
P0461,US,111
P0276,US,194
P0438,CA,100
P0375,CA,65
P0351,CA,30
P0099,US,46
P0166,UK,123
P0260,US,142
P0106,UK,136
P0275,UK,96
P0441,US,118
P0140,CA,169
P0356,CA,76
P0044,US,2
P0313,CA,139
P0147,US,92
P0266,CA,31
P0284,US,-1
P0056,CA,153
P0277,US,-5
P0230,US,191
P0403,US,80
P0362,CA,105
P0423,US,73
P0489,CA,32
P0495,US,134
P0068,UK,153
P0295,UK,67
P0226,US,200
P0385,CA,91
P0322,CA,87
P0269,CA,136
P0096,CA,85
P0464,CA,172
P0391,CA,174
P0331,UK,111
P0198,UK,-1
P0263,US,88
P0273,UK,158
P0162,CA,173
P0135,UK,87
P0133,UK,70
P0435,CA,175
P0417,US,110
P0255,CA,198
P0079,CA,13
P0006,UK,168
P0131,UK,60
P0274,US,171
P0355,CA,-1
P0490,US,194
P0298,UK,19
P0009,US,21
P0386,UK,22
P0052,CA,23
P0371,US,141
P0294,CA,27
P0461,CA,41
P0131,US,35
P0226,CA,192
P0238,CA,109
P0432,UK,192
P0303,US,98
P0348,US,194
P0476,US,193
P0305,US,185
P0029,US,141
P0077,US,195
P0470,US,67
P0473,CA,7
P0303,CA,99
P0412,CA,111
P0389,US,184
P0133,CA,135
P0386,UK,129
P0144,US,169
P0250,CA,158
P0241,UK,78
P0014,UK,27
P0296,UK,83
P0125,US,85
P0322,US,180
P0460,US,1
P0202,UK,159
P0097,CA,115
P0330,UK,47
P0096,US,28
P0291,UK,56
P0206,US,23
P0294,UK,87
P0189,UK,114
P0448,US,151
P0246,UK,48
P0126,UK,87
P0141,CA,101
P0085,UK,88
P0141,UK,34
P0232,UK,4
P0221,CA,96
P0054,US,58
P0417,CA,93
P0058,UK,55
P0445,US,189
P0482,UK,129
P0146,CA,-1
P0457,UK,166
P0418,US,-1
P0240,UK,194
P0307,US,70
P0237,CA,107
P0380,CA,139
P0190,US,61
P0429,UK,117
P0191,CA,-1
P0217,CA,151
P0160,CA,-1
P0324,US,38
P0017,UK,11
P0342,UK,-5
P0285,US,24
P0248,CA,-1
P0280,CA,164
P0357,US,149
P0174,US,19
P0246,CA,30
P0276,CA,119
P0343,CA,42
P0139,CA,181
P0028,CA,9
P0257,US,30
P0488,CA,174
P0337,UK,7
P0077,CA,143
P0287,UK,131
P0412,UK,191
P0468,CA,121
P0178,CA,144
P0286,CA,67
P0493,CA,114
P0100,UK,181
P0474,UK,165
P0094,US,1
P0483,UK,35
P0062,US,147
P0031,CA,127
P0074,UK,142
P0029,US,-5
P0029,UK,111
P0066,UK,114
P0182,UK,94
P0125,UK,57
P0417,US,-1
P0269,US,119
P0492,UK,92
P0359,CA,144
P0167,UK,42
P0478,US,56
P0116,US,5
P0301,CA,62
P0086,UK,176
P0116,CA,4
P0248,US,28
P0292,UK,195
P0424,UK,145
P0495,UK,0
P0359,US,189
P0147,US,103
P0105,CA,-1
P0086,CA,-1
P0438,US,179
P0028,CA,10
P0453,CA,135
P0327,CA,154
P0235,CA,68
P0176,UK,72
P0425,CA,148
P0291,UK,82
P0085,CA,94
P0089,UK,105
P0272,US,101
P0258,CA,39
P0408,CA,165
P0307,UK,0
P0399,UK,68
P0267,CA,122
P0344,UK,127
P0194,US,122
P0311,CA,193
P0058,UK,187
P0374,UK,195
P0057,CA,28
P0015,US,180
P0414,CA,31
P0355,CA,147
P0329,US,93
P0407,UK,197
P0164,UK,96
P0326,CA,126
P0115,UK,0
P0265,UK,67
P0091,US,65
P0269,CA,150
P0287,US,45
P0161,UK,30
P0073,US,133
P0091,US,28
P0252,US,149
P0224,US,146
P0240,US,120
P0198,UK,32
P0120,CA,35
P0455,UK,-2
P0178,UK,49
P0177,UK,121
P0101,US,33
P0129,UK,185
P0442,CA,108
P0230,UK,150
P0052,US,111
P0151,US,197
P0064,CA,-1
P0084,UK,45
P0007,US,-1
P0450,UK,185
P0215,US,124
P0056,UK,62
P0320,CA,159
P0235,UK,198
P0468,UK,144
P0462,US,75
P0246,UK,182
P0258,US,121
P0358,US,155
P0252,US,133
P0111,US,186
P0279,US,86
P0277,UK,33
P0028,CA,33
P0122,US,50
P0024,US,88
P0156,US,80
P0219,US,18
P0300,CA,-2
P0105,CA,111
P0378,CA,47
P0333,CA,109
P0138,CA,19
P0497,US,177
P0484,UK,52
P0054,UK,-1
P0279,US,-1
P0224,UK,64
P0116,UK,104
P0428,UK,5
P0269,US,166
P0485,CA,92
P0092,US,188
P0136,CA,45
P0315,CA,119
P0328,CA,134
P0214,US,200
P0229,CA,94
P0169,CA,22
P0349,UK,130
P0091,CA,61
P0341,CA,82
P0127,UK,32
P0136,UK,66
P0171,US,133
P0151,UK,65
P0348,UK,-5
P0205,US,162
P0243,US,83
P0042,CA,155
P0197,UK,99
P0478,CA,102
P0370,US,177
P0048,UK,197
P0322,CA,40
P0289,CA,100
P0272,UK,9
P0332,US,56
P0437,US,180
P0004,US,197
P0401,US,56
P0386,UK,169
P0019,CA,-1
P0338,UK,104
P0470,US,122
P0119,US,63
P0411,US,33
P0009,UK,-5
P0438,UK,34
P0171,US,18
P0083,US,191
P0440,US,35
P0176,UK,88
P0473,US,52
P0381,CA,180
P0132,US,196
P0242,UK,125
P0431,US,99
P0247,UK,27
P0351,CA,108
P0363,CA,174
P0134,UK,174
P0162,CA,81
P0321,US,66
P0009,US,96
P0189,UK,13
P0129,CA,27
P0116,US,158
