part_id,name,type
P0001,Part_1,component
P0002,Part_2,component
P0003,,component
P0004,Part_4,assembly
P0005,Part_5,assembly
P0006,Part_6,component
P0007,Part_7,component
P0008,Part_8,component
P0009,Part_9,assembly
P0010,Part_10,assembly
P0011,Part_11,component
P0012,Part_12,component
P0013,Part_13,component
P0014,Part_14,component
P0015,Part_15,assembly
P0016,Part_16,assembly
P0017,Part_17,component
P0018,Part_18,component
P0019,Part_19,assembly
P0020,Part_20,assembly
P0021,Part_21,component
P0022,Part_22,component
P0023,Part_23,component
P0024,Part_24,component
P0025,Part_25,component
P0026,Part_26,component
P0027,Part_27,assembly
P0028,Part_28,component
P0029,Part_29,assembly
P0030,Part_30,assembly
P0031,Part_31,component
P0032,Part_32,assembly
P0033,Part_33,component
P0034,Part_34,assembly
P0035,Part_35,component
P0036,Part_36,assembly
P0037,Part_37,assembly
P0038,Part_38,assembly
P0039,Part_39,component
P0040,Part_40,component
P0041,Part_41,component
P0042,Part_42,component
P0043,Part_43,component
P0044,Part_44,component
P0045,Part_45,assembly
P0046,Part_46,assembly
P0047,Part_47,component
P0048,Part_48,assembly
P0049,Part_49,assembly
P0050,Part_50,component
P0051,Part_51,assembly
P0052,Part_52,assembly
P0053,Part_53,assembly
P0054,Part_54,component
P0055,Part_55,component
P0056,Part_56,assembly
P0057,Part_57,assembly
P0058,Part_58,component
P0059,Part_59,assembly
P0060,Part_60,assembly
P0061,Part_61,component
P0062,Part_62,component
P0063,Part_63,component
P0064,Part_64,component
P0065,Part_65,component
P0066,Part_66,component
P0067,Part_67,assembly
P0068,Part_68,assembly
P0069,Part_69,component
P0070,Part_70,assembly
P0071,Part_71,assembly
P0072,Part_72,component
P0073,Part_73,component
P0074,Part_74,assembly
P0075,Part_75,assembly
P0076,Part_76,component
P0077,Part_77,assembly
P0078,Part_78,assembly
P0079,Part_79,component
P0080,Part_80,component
P0081,Part_81,component
P0082,Part_82,assembly
P0083,Part_83,assembly
P0084,Part_84,assembly
P0085,Part_85,assembly
P0086,Part_86,assembly
P0087,Part_87,assembly
P0088,Part_88,component
P0089,Part_89,component
P0090,Part_90,assembly
P0091,Part_91,assembly
P0092,Part_92,assembly
P0093,Part_93,assembly
P0094,Part_94,component
P0095,Part_95,component
P0096,Part_96,assembly
P0097,Part_97,assembly
P0098,Part_98,component
P0099,Part_99,assembly
P0100,Part_100,component
P0101,Part_101,assembly
P0102,Part_102,assembly
P0103,Part_103,assembly
P0104,Part_104,component
P0105,Part_105,component
P0106,Part_106,assembly
P0107,Part_107,assembly
P0108,,assembly
P0109,Part_109,component
P0110,Part_110,component
P0111,,assembly
P0112,Part_112,component
P0113,Part_113,component
P0114,,component
P0115,Part_115,component
P0116,Part_116,assembly
P0117,Part_117,component
P0118,Part_118,assembly
P0119,Part_119,component
P0120,Part_120,assembly
P0121,Part_121,assembly
P0122,Part_122,assembly
P0123,Part_123,assembly
P0124,Part_124,component
P0125,Part_125,assembly
P0126,Part_126,assembly
P0127,Part_127,component
P0128,Part_128,component
P0129,,component
P0130,Part_130,assembly
P0131,Part_131,component
P0132,Part_132,assembly
P0133,Part_133,assembly
P0134,Part_134,component
P0135,Part_135,assembly
P0136,Part_136,assembly
P0137,Part_137,assembly
P0138,Part_138,component
P0139,Part_139,assembly
P0140,Part_140,component
P0141,Part_141,component
P0142,Part_142,assembly
P0143,Part_143,assembly
P0144,Part_144,assembly
P0145,Part_145,component
P0146,Part_146,assembly
P0147,Part_147,component
P0148,Part_148,component
P0149,Part_149,component
P0150,Part_150,component
P0151,Part_151,component
P0152,Part_152,assembly
P0153,Part_153,component
P0154,Part_154,assembly
P0155,Part_155,assembly
P0156,Part_156,assembly
P0157,Part_157,assembly
P0158,Part_158,component
P0159,Part_159,component
P0160,Part_160,assembly
P0161,Part_161,assembly
P0162,Part_162,component
P0163,Part_163,assembly
P0164,Part_164,assembly
P0165,Part_165,component
P0166,Part_166,assembly
P0167,Part_167,component
P0168,Part_168,component
P0169,Part_169,assembly
P0170,Part_170,assembly
P0171,Part_171,component
P0172,Part_172,assembly
P0173,Part_173,component
P0174,Part_174,component
P0175,Part_175,component
P0176,Part_176,assembly
P0177,Part_177,assembly
P0178,Part_178,assembly
P0179,Part_179,assembly
P0180,Part_180,component
P0181,Part_181,component
P0182,Part_182,assembly
P0183,Part_183,assembly
P0184,Part_184,component
P0185,Part_185,assembly
P0186,Part_186,component
P0187,Part_187,component
P0188,Part_188,component
P0189,Part_189,assembly
P0190,Part_190,component
P0191,,component
P0192,Part_192,component
P0193,Part_193,component
P0194,Part_194,assembly
P0195,Part_195,assembly
P0196,Part_196,component
P0197,Part_197,component
P0198,Part_198,assembly
P0199,Part_199,component
P0200,Part_200,assembly
P0201,Part_201,assembly
P0202,Part_202,component
P0203,Part_203,component
P0204,Part_204,component
P0205,Part_205,component
P0206,Part_206,assembly
P0207,Part_207,assembly
P0208,Part_208,assembly
P0209,Part_209,assembly
P0210,Part_210,assembly
P0211,Part_211,component
P0212,Part_212,assembly
P0213,Part_213,assembly
P0214,Part_214,assembly
P0215,Part_215,component
P0216,Part_216,assembly
P0217,Part_217,assembly
P0218,Part_218,assembly
P0219,Part_219,component
P0220,Part_220,assembly
P0221,Part_221,component
P0222,Part_222,assembly
P0223,Part_223,assembly
P0224,Part_224,component
P0225,Part_225,component
P0226,Part_226,component
P0227,Part_227,assembly
P0228,Part_228,assembly
P0229,Part_229,component
P0230,Part_230,component
P0231,Part_231,assembly
P0232,Part_232,assembly
P0233,Part_233,assembly
P0234,Part_234,component
P0235,Part_235,component
P0236,Part_236,assembly
P0237,Part_237,assembly
P0238,Part_238,component
P0239,Part_239,assembly
P0240,Part_240,assembly
P0241,Part_241,assembly
P0242,Part_242,assembly
P0243,Part_243,component
P0244,Part_244,assembly
P0245,Part_245,component
P0246,,component
P0247,Part_247,component
P0248,Part_248,assembly
P0249,Part_249,assembly
P0250,Part_250,component
P0251,Part_251,component
P0252,Part_252,component
P0253,,assembly
P0254,Part_254,component
P0255,Part_255,assembly
P0256,Part_256,assembly
P0257,Part_257,component
P0258,Part_258,component
P0259,Part_259,assembly
P0260,Part_260,component
P0261,Part_261,assembly
P0262,Part_262,assembly
P0263,Part_263,component
P0264,Part_264,component
P0265,Part_265,component
P0266,Part_266,assembly
P0267,Part_267,assembly
P0268,Part_268,assembly
P0269,Part_269,assembly
P0270,Part_270,component
P0271,Part_271,component
P0272,Part_272,component
P0273,Part_273,assembly
P0274,Part_274,component
P0275,Part_275,component
P0276,Part_276,assembly
P0277,Part_277,assembly
P0278,Part_278,component
P0279,Part_279,component
P0280,Part_280,component
P0281,Part_281,assembly
P0282,Part_282,component
P0283,Part_283,assembly
P0284,Part_284,assembly
P0285,Part_285,component
P0286,Part_286,component
P0287,Part_287,component
P0288,Part_288,component
P0289,Part_289,assembly
P0290,Part_290,component
P0291,Part_291,assembly
P0292,Part_292,assembly
P0293,Part_293,component
P0294,Part_294,component
P0295,Part_295,assembly
P0296,Part_296,component
P0297,Part_297,component
P0298,Part_298,component
P0299,Part_299,component
P0300,Part_300,assembly
P0301,Part_301,component
P0302,Part_302,assembly
P0303,Part_303,assembly
P0304,Part_304,component
P0305,Part_305,component
P0306,Part_306,component
P0307,Part_307,assembly
P0308,Part_308,assembly
P0309,Part_309,assembly
P0310,Part_310,assembly
P0311,Part_311,assembly
P0312,Part_312,assembly
P0313,Part_313,component
P0314,Part_314,assembly
P0315,Part_315,assembly
P0316,Part_316,component
P0317,Part_317,component
P0318,Part_318,assembly
P0319,Part_319,assembly
P0320,,assembly
P0321,Part_321,assembly
P0322,Part_322,component
P0323,Part_323,assembly
P0324,Part_324,assembly
P0325,Part_325,component
P0326,Part_326,component
P0327,Part_327,assembly
P0328,Part_328,component
P0329,Part_329,component
P0330,Part_330,component
P0331,Part_331,component
P0332,Part_332,assembly
P0333,Part_333,component
P0334,Part_334,component
P0335,Part_335,assembly
P0336,Part_336,assembly
P0337,Part_337,component
P0338,Part_338,assembly
P0339,Part_339,component
P0340,Part_340,component
P0341,Part_341,assembly
P0342,Part_342,component
P0343,Part_343,assembly
P0344,Part_344,assembly
P0345,Part_345,component
P0346,Part_346,component
P0347,Part_347,assembly
P0348,Part_348,component
P0349,Part_349,component
P0350,Part_350,assembly
P0351,Part_351,component
P0352,Part_352,assembly
P0353,Part_353,component
P0354,Part_354,component
P0355,Part_355,assembly
P0356,Part_356,component
P0357,Part_357,assembly
P0358,Part_358,assembly
P0359,Part_359,component
P0360,Part_360,assembly
P0361,Part_361,assembly
P0362,Part_362,component
P0363,Part_363,component
P0364,Part_364,assembly
P0365,Part_365,assembly
P0366,Part_366,assembly
P0367,Part_367,assembly
P0368,Part_368,assembly
P0369,Part_369,assembly
P0370,Part_370,component
P0371,Part_371,assembly
P0372,Part_372,component
P0373,Part_373,assembly
P0374,Part_374,component
P0375,Part_375,assembly
P0376,Part_376,assembly
P0377,Part_377,component
P0378,Part_378,assembly
P0379,Part_379,assembly
