wo_id,product,qty,status
WO00000,P0291,45,OPEN
WO00001,P0032,31,OPEN
WO00002,P0295,24,FAILED
WO00003,P0316,27,COMPLETED
WO00004,P0418,38,IN_PROGRESS
WO00005,P0149,38,IN_PROGRESS
WO00006,P0184,13,IN_PROGRESS
WO00007,P0191,25,IN_PROGRESS
WO00008,P0230,47,FAILED
WO00009,P0056,12,IN_PROGRESS
WO00010,P0239,6,IN_PROGRESS
WO00011,P0418,36,COMPLETED
WO00012,P0180,10,OPEN
WO00013,P0290,24,FAILED
WO00014,P0232,39,COMPLETED
WO00015,P0174,44,COMPLETED
WO00016,P0410,41,COMPLETED
WO00017,P0067,31,OPEN
WO00018,P0199,25,FAILED
WO00019,P0447,36,COMPLETED
WO00020,P0458,19,FAILED
WO00021,P0238,42,OPEN
WO00022,P0126,27,OPEN
WO00023,P0361,13,FAILED
WO00024,P0471,25,OPEN
WO00025,P0430,16,COMPLETED
WO00026,P0073,6,FAILED
WO00027,P0351,16,FAILED
WO00028,P0238,29,OPEN
WO00029,P0296,14,COMPLETED
WO00030,P0016,34,COMPLETED
WO00031,P0447,39,OPEN
WO00032,P0170,38,OPEN
WO00033,P0043,18,IN_PROGRESS
WO00034,P0147,29,FAILED
WO00035,P0043,31,IN_PROGRESS
WO00036,P0063,1,FAILED
WO00037,P0378,15,OPEN
WO00038,P0158,34,OPEN
WO00039,P0057,31,COMPLETED
WO00040,P0149,7,FAILED
WO00041,P0264,48,FAILED
WO00042,P0104,44,IN_PROGRESS
WO00043,P0002,10,OPEN
WO00044,P0253,30,IN_PROGRESS
WO00045,P0173,7,COMPLETED
WO00046,P0143,6,FAILED
WO00047,P0015,39,COMPLETED
WO00048,P0004,2,COMPLETED
WO00049,P0043,36,COMPLETED
WO00050,P0169,50,OPEN
WO00051,P0300,30,FAILED
WO00052,P0125,18,FAILED
WO00053,P0179,47,COMPLETED
WO00054,P0335,23,COMPLETED
WO00055,P0138,37,IN_PROGRESS
WO00056,P0063,33,COMPLETED
WO00057,P0245,12,FAILED
WO00058,P0172,24,IN_PROGRESS
WO00059,P0112,35,COMPLETED
WO00060,P0486,47,IN_PROGRESS
WO00061,P0307,18,COMPLETED
WO00062,P0247,9,IN_PROGRESS
WO00063,P0227,10,OPEN
WO00064,P0274,34,IN_PROGRESS
WO00065,P0486,23,FAILED
WO00066,P0319,41,COMPLETED
WO00067,P0219,46,IN_PROGRESS
WO00068,P0038,38,IN_PROGRESS
WO00069,P0106,1,COMPLETED
WO00070,P0438,17,IN_PROGRESS
WO00071,P0319,22,OPEN
WO00072,P0347,35,IN_PROGRESS
WO00073,P0052,9,COMPLETED
WO00074,P0410,14,OPEN
WO00075,P0369,16,OPEN
WO00076,P0224,36,COMPLETED
WO00077,P0160,5,OPEN
WO00078,P0048,18,OPEN
WO00079,P0440,44,IN_PROGRESS
WO00080,P0393,19,OPEN
WO00081,P0182,16,IN_PROGRESS
WO00082,P0309,20,IN_PROGRESS
WO00083,P0046,24,IN_PROGRESS
WO00084,P0499,36,COMPLETED
WO00085,P0277,42,FAILED
WO00086,P0160,21,FAILED
WO00087,P0268,41,OPEN
WO00088,P0336,9,IN_PROGRESS
WO00089,P0385,33,FAILED
WO00090,P0062,27,IN_PROGRESS
WO00091,P0498,43,FAILED
WO00092,P0412,19,IN_PROGRESS
WO00093,P0291,49,IN_PROGRESS
WO00094,P0281,38,IN_PROGRESS
WO00095,P0414,23,COMPLETED
WO00096,P0009,31,COMPLETED
WO00097,P0382,46,COMPLETED
WO00098,P0409,16,COMPLETED
WO00099,P0445,45,OPEN
WO00100,P0280,3,FAILED
WO00101,P0264,26,OPEN
WO00102,P0010,33,COMPLETED
WO00103,P0084,5,FAILED
WO00104,P0302,38,OPEN
WO00105,P0461,30,COMPLETED
WO00106,P0301,3,IN_PROGRESS
WO00107,P0472,17,OPEN
WO00108,P0326,20,IN_PROGRESS
WO00109,P0022,40,COMPLETED
WO00110,P0193,22,COMPLETED
WO00111,P0440,39,FAILED
WO00112,P0385,4,COMPLETED
WO00113,P0146,44,FAILED
WO00114,P0129,1,COMPLETED
WO00115,P0099,30,OPEN
WO00116,P0307,25,IN_PROGRESS
WO00117,P0461,31,FAILED
WO00118,P0302,36,OPEN
WO00119,P0257,31,IN_PROGRESS
WO00120,P0276,10,FAILED
WO00121,P0435,18,IN_PROGRESS
WO00122,P0231,1,IN_PROGRESS
WO00123,P0377,6,IN_PROGRESS
WO00124,P0425,31,OPEN
WO00125,P0440,28,COMPLETED
WO00126,P0218,33,IN_PROGRESS
WO00127,P0306,19,FAILED
WO00128,P0479,9,COMPLETED
WO00129,P0146,13,COMPLETED
WO00130,P0145,9,OPEN
WO00131,P0211,36,OPEN
WO00132,P0463,29,OPEN
WO00133,P0356,18,COMPLETED
WO00134,P0056,5,COMPLETED
WO00135,P0066,34,IN_PROGRESS
WO00136,P0338,17,OPEN
WO00137,P0011,32,FAILED
WO00138,P0300,1,FAILED
WO00139,P0313,13,IN_PROGRESS
WO00140,P0049,15,OPEN
WO00141,P0316,7,FAILED
WO00142,P0191,7,FAILED
WO00143,P0463,47,FAILED
WO00144,P0272,41,OPEN
WO00145,P0342,44,COMPLETED
WO00146,P0004,35,COMPLETED
WO00147,P0383,34,OPEN
WO00148,P0394,45,OPEN
WO00149,P0334,14,IN_PROGRESS
WO00150,P0162,48,COMPLETED
WO00151,P0496,17,OPEN
WO00152,P0094,30,OPEN
WO00153,P0029,49,OPEN
WO00154,P0407,2,IN_PROGRESS
WO00155,P0272,50,COMPLETED
WO00156,P0232,4,FAILED
WO00157,P0109,26,FAILED
WO00158,P0187,5,OPEN
WO00159,P0045,33,OPEN
WO00160,P0123,5,OPEN
WO00161,P0135,7,IN_PROGRESS
WO00162,P0256,3,FAILED
WO00163,P0027,21,FAILED
WO00164,P0051,34,IN_PROGRESS
WO00165,P0391,15,IN_PROGRESS
WO00166,P0193,21,OPEN
WO00167,P0103,27,FAILED
WO00168,P0415,49,OPEN
WO00169,P0217,45,FAILED
WO00170,P0289,40,COMPLETED
WO00171,P0471,38,IN_PROGRESS
WO00172,P0455,44,OPEN
WO00173,P0201,15,FAILED
WO00174,P0152,20,IN_PROGRESS
WO00175,P0367,43,OPEN
WO00176,P0018,30,COMPLETED
WO00177,P0432,44,COMPLETED
WO00178,P0237,38,FAILED
WO00179,P0385,20,FAILED
WO00180,P0240,22,IN_PROGRESS
WO00181,P0486,16,COMPLETED
WO00182,P0105,29,FAILED
WO00183,P0209,32,COMPLETED
WO00184,P0474,49,IN_PROGRESS
WO00185,P0321,12,IN_PROGRESS
WO00186,P0161,26,OPEN
WO00187,P0003,41,COMPLETED
WO00188,P0199,2,COMPLETED
WO00189,P0105,26,COMPLETED
WO00190,P0025,42,COMPLETED
WO00191,P0136,46,IN_PROGRESS
WO00192,P0450,22,COMPLETED
WO00193,P0142,14,COMPLETED
WO00194,P0471,7,IN_PROGRESS
WO00195,P0337,31,COMPLETED
WO00196,P0488,23,OPEN
WO00197,P0179,32,IN_PROGRESS
WO00198,P0240,50,IN_PROGRESS
WO00199,P0081,34,OPEN
WO00200,P0125,33,COMPLETED
WO00201,P0443,27,IN_PROGRESS
WO00202,P0330,41,FAILED
WO00203,P0054,24,COMPLETED
